WEEKNO	NO	CDC	GFT	TotalTweets	CullotaBest	TweetFlu	Synd	SyndFlu
36	0	4.06	3361	10787195	41747	1984	7139	6215
37	1	4.248	3790	11838349	45857	2083	8091	6625
38	2	4.189	4254	12138767	51706	2606	9188	7812
39	3	4.869	4926	12854333	53989	2917	9983	9118
40	4	6.076	5424	10925335	46751	2557	8108	8105
41	5	7.028	6037	12807865	55647	2994	10192	9899
42	6	7.688	7112	12269746	59961	4230	10335	11209
43	7	7.514	6533	13059180	64491	4881	10509	12861
44	8	6.615	5722	12681855	62398	3738	11307	11596
45	9	5.194	4468	13813748	57636	3054	10729	9763
46	10	4.041	3587	14153792	55111	2654	10491	8265
47	11	3.517	2655	8640307	36117	1841	6883	4225
48	12	2.731	2560	13480347	48535	3275	9553	5002
49	13	2.471	2190	10572271	35331	1452	7622	3967
50	14	2.332	2032	15774849	42412	1512	9213	3829
51	15	2.577	2055	8832680	22994	953	5313	1746
52	16	2.563	2199	16018086	45423	1870	10810	4243
1	17	1.881	2169	17379208	52422	1991	11811	4960
2	18	1.848	1916	17886017	49277	1840	11556	4331
3	19	1.857	1860	18642047	48981	1654	10817	3597
4	20	1.945	1861	19260085	51925	1759	11737	4080
5	21	2.064	1910	19844167	54393	2126	12223	4139
6	22	2.073	1944	19573287	51964	1823	12513	3761
7	23	1.899	2000	19893858	51178	1814	12520	3604
8	24	1.937	1968	14163050	37695	1304	9512	3171
9	25	1.907	1888	12520024	31535	1039	7799	1732
10	26	1.874	1793	15321007	38788	1142	9354	2551
11	27	1.749	1619	21604331	54597	1751	12988	3220
12	28	1.545	1511	22696703	56959	1708	13337	3262
13	29	1.501	1350	23005183	55207	1539	12611	3196
14	30	1.218	1257	23947536	56397	1557	13112	3113
15	21	1.166	1123	24618455	58571	1638	13564	3045
16	32	1.063	1110	25373474	60194	1508	14232	3168
17	33	1.078	1149	25144724	62341	1720	13831	3537
18	34	1.058	1088	24806226	57076	1586	13608	3279
